--------Result---------------
[119, 'A320', 'VJ303', 560, 600, 3, 'A320', 'VJ386', 0.052702702702702706, 0.052702702702702706]
[120, 'AT72', '0V8057', 540, 600, 15, 'AT72', '0V8063', 0.052702702702702706, 0.052702702702702706]
[121, 'A350', 'VN522', 445, 600, 5, 'B787', 'VN228', 0.052702702702702706, 0.052702702702702706]
[122, 'A321', 'VJ126', 570, 605, 1, 'A321', 'VN502', 0.06918621918621919, 0.06918621918621919]
[123, 'AT72', '0V8059', 570, 610, 8, 'A321', 'VJ323', 0.052702702702702706, 0.0527027027027027]
[124, 'A320', 'VJ825', 570, 610, 36, 'A320', 'BL512', 0.052702702702702706, 0.052702702702702706]
[125, 'A320', 'BL443', 575, 610, 55, 'A320', 'VJ276', 0.052702702702702706, 0.052702702702702706]
[126, 'A320', 'VJ627', 575, 615, 59, 'A320', 'VJ630', 0.052702702702702706, 0.052702702702702706]
[127, 'A321', 'VJ381', 585, 620, 31, 'A321', 'VJ378', 0.052702702702702706, 0.052702702702702706]
[128, 'A320', 'BL758', 590, 625, 9, 'A321', 'VJ852', 0.13906633906633908, 0.13906633906633906]
[129, 'A321', 'VJ841', 560, 630, 38, 'A321', 'VN1384', 0.052702702702702706, 0.052702702702702706]
[130, 'A321', 'VN1371', 590, 630, 40, 'A321', 'VN1184', 0.052702702702702706, 0.052702702702702706]
[131, 'A321', 'VN219', 580, 630, 41, 'A321', 'VN230', 0.052702702702702706, 0.052702702702702706]
[132, 'A321', 'VN120', 600, 635, 2, 'A321', 'VN1264', 0.052702702702702706, 0.052702702702702706]
[133, 'A321', 'VJ244', 540, 635, 42, 'A321', 'VN594', 0.10533428165007112, 0.10533428165007112]
[134, 'A321', 'QH215', 550, 640, 73, 'A321', 'QH218', 0.052702702702702706, 0.052702702702702706]
[135, 'A321', 'VJ323', 610, 650, 8, 'A321', 'VJ138', 0.052702702702702706, 0.0527027027027027]
[136, 'A321', 'VJ852', 625, 660, 9, 'A321', 'VN122', 0.052702702702702706, 0.0527027027027027]
[137, 'A321', 'VJ378', 620, 660, 31, 'A321', 'VN1460', 0.052702702702702706, 0.052702702702702706]
[138, 'A321', 'VN223', 610, 660, 43, 'A321', 'VN232', 0.052702702702702706, 0.052702702702702706]
[139, 'B738', 'MH750', 600, 660, 6, 'B738', 'MH751', 0.052702702702702706, 0.052702702702702706]
[140, 'A321', 'VN7207', 615, 665, 52, 'A321', 'VN7216', 0.052702702702702706, 0.052702702702702706]
[141, 'A320', 'BL512', 610, 665, 36, 'A320', 'VJ890', 0.12603603603603603, 0.12603603603603603]
[142, 'A321', 'VN1264', 635, 670, 2, 'A321', 'VN1372', 0.052702702702702706, 0.052702702702702706]
[143, 'A321', 'VN1384', 630, 670, 38, 'A321', 'VJ278', 0.052702702702702706, 0.052702702702702706]
[144, 'A321', 'VN1184', 630, 670, 40, 'A321', 'VN1274', 0.052702702702702706, 0.052702702702702706]
[145, 'A321', 'VN1263', 640, 675, 1, 'A321', 'VJ803', 0.1271707878090857, 0.1271707878090857]
[146, 'B773', 'CX767', 615, 675, 11, 'B773', 'CX766', 0.052702702702702706, 0.052702702702702706]
[147, 'B738', 'AE1857', 620, 680, 7, 'B738', 'AE1858', 0.052702702702702706, 0.052702702702702706]
