
======Show the result======
[177, 'A321', 'VJ635', 725, 780, 40, 'A321', 'VJ638', 0, 0.38461538, 0, 0.38461538]
[178, 'AT72', '0V8073', 745, 780, 32, 'A321', 'VN126', 1, 0.30769231, 0, 0.31033781]
[179, 'AT72', 'K6817', 730, 780, 3, 'A320', 'QH1122', 1, 0.02884615, 3, 0.03942816]
[180, 'A320', 'BL424', 710, 780, 33, 'A321', 'VN1286', 1, 0.31730769, 2, 0.3252442]
[181, 'A320', 'BL432', 710, 780, 34, 'A321', 'VN238', 1, 0.32692308, 1, 0.33221408]
[182, 'A321', 'VN1426', 755, 790, 1, 'A320', 'BL131', 1, 0.00961538, 1, 0.01490639]
[183, 'A320', 'BL764', 755, 805, 2, 'A320', 'VJ252', 1, 0.01923077, 2, 0.02716728]
[184, 'A320', 'AK526', 775, 805, 37, 'A320', 'AK527', 0, 0.35576923, 1, 0.35841473]
[185, 'A321', 'VJ322', 765, 810, 41, 'A321', 'VJ331', 0, 0.39423077, 3, 0.40216728]
[186, 'A321', 'VJ220', 760, 810, 31, 'A321', 'VN7132', 0, 0.29807692, 2, 0.30336793]
[187, 'A320', 'AK1502', 780, 810, 42, 'A320', 'AK1503', 0, 0.40384615, 1, 0.40649166]
[188, 'A321', 'VN126', 780, 815, 32, 'A321', 'VN1825', 0, 0.30769231, 0, 0.30769231]
[189, 'B772', 'KE681', 760, 835, 9, 'B772', 'KE682', 0, 0.08653846, 2, 0.09182947]
[190, 'A320', '3U8913', 780, 835, 43, 'A320', '3U8914', 0, 0.41346154, 1, 0.41610704]
[191, 'A320', 'BL131', 790, 840, 1, 'A321', 'VN128', 1, 0.00961538, 0, 0.01226089]
[192, 'A320', 'VJ252', 805, 840, 2, 'A320', 'BL678', 1, 0.01923077, 4, 0.03245828]
[193, 'B738', 'AE1857', 680, 840, 4, 'B787', 'VN242', 1, 0.03846154, 3, 0.04904355]
[194, 'A321', 'VN7132', 810, 840, 31, 'A321', 'VJ146', 1, 0.29807692, 2, 0.30601343]
[195, 'B773', 'BR391', 770, 840, 8, 'E135', 'N650AP', 2, 0.07692308, 1, 0.08485958]
[196, 'A321', 'VJ651', 745, 845, 51, 'A321', 'VJ1624', 2, 0.49038462, 2, 0.50096663]
[197, 'A321', 'VJ645', 815, 845, 33, 'A321', 'VJ632', 3, 0.31730769, 1, 0.3278897]
[198, 'A321', 'VN1825', 815, 850, 32, 'A321', 'VJ372', 3, 0.30769231, 0, 0.31562882]
[199, 'A321', 'VN238', 780, 850, 34, 'A321', 'VJ620', 3, 0.32692308, 5, 0.3480871]
[200, 'A320', 'AK526', 805, 850, 37, 'A321', 'VN1186', 3, 0.35576923, 4, 0.37428775]
[201, 'A321', 'VN1345', 760, 850, 38, 'A321', 'VJ140', 3, 0.36538462, 3, 0.38125763]
[202, 'A321', 'VJ635', 780, 850, 40, 'A321', 'VN655', 3, 0.38461538, 2, 0.3978429]
[203, 'A321', 'CZ8465', 790, 850, 52, 'A321', 'CZ8466', 3, 0.5, 1, 0.51058201]
[204, 'A320', 'QH1122', 780, 860, 3, 'AT72', '0V8079', 3, 0.02884615, 0, 0.03678266]
[205, 'B787', 'VN242', 840, 870, 4, 'A350', 'VN246', 2, 0.03846154, 1, 0.04639805]
